station_naptan,naptan_id,ics_code,name,zone,lat,lon,modes
940GZZCRCOO,4900ZZCRCOO0,1002024,Coombe Lane Tram Stop,,51.35987,-0.05862,tram
940GZZLUCGN,4900ZZLUCGN1,1000056,Covent Garden Station,1,51.51307,-0.12423,tube
940GZZDLCLA,4900ZZDLCLA1,1002025,Crossharbour Station,2,51.49603,-0.0142,dlr
940GZZLUCXY,2100ZZLUCXY0,1000057,Croxley Underground Station,7,51.647069,-0.441746,tube
,HUBCUS,1001079,Custom House,3,51.518757,0.027418,dlr;elizabeth-line
940GZZDLCUS,4900ZZDLCUS1,1001079,Custom House Station,3,51.50994,0.02691,dlr
,HUBCUT,1002027,Cutty Sark,2+3,51.481675,-0.010802,bus;dlr
940GZZDLCYP,4900ZZDLCYP1,1002028,Cyprus Station,3,51.50882,0.06357,dlr
940GZZLUDGE,4900ZZLUDGE1,1000058,Dagenham East Station,5,51.54423,0.16601,tube
940GZZLUDGY,4900ZZLUDGY1,1000059,Dagenham Heathway Station,5,51.54176,0.14778,tube
940GZZLUDBN,9400ZZLUDBN,1000060,Debden Underground Station,6,51.645386,0.083782,tube
940GZZDLDEP,4900ZZDLDEP1,1002029,Deptford Bridge,2+3,51.47445,-0.02246,dlr
940GZZDLDEV,4900ZZDLDEV1,1002030,Devons Road Station,2,51.52268,-0.01748,dlr
940GZZLUDOH,4900ZZLUDOH1,1000061,Dollis Hill Station,3,51.5525,-0.23876,tube
940GZZCRDDR,4900ZZCRDDR,1002031,Dundonald Road,,51.41743,-0.20751,tram
,HUBEAL,1000062,Ealing Broadway,3,51.514993,-0.302131,bus;elizabeth-line;national-rail;tube
940GZZLUEBY,9400ZZLUEBY,1000062,Ealing Broadway Underground Station,3,51.515017,-0.301457,tube
940GZZLUECM,4900ZZLUECM1,1000063,Ealing Common Station,3,51.51032,-0.28817,tube
